time_s,speed_kmph,accn_mps2,dist_km,Fr,Far,Fac,Fb,Ft,m_pwr_kW,e_pwr_kW,m_energy_Wh,e_energy_Wh,m_Wh/km,e_Wh/km,pack_voltage_V,pack_current_A,delta_voltage_V_ir,pack_voltage_V_w_ir,pack_current_A_w_ir
769,99.78,0.0,20.9,51.3,224.01,0.0,0.0,275.31,7.63,9.54,2503.89,3129.87,119.81,149.76,345.6,27.6,5.74,339.86,28.06
770,94.95,-3.13,20.93,51.3,202.85,-829.26,0.0,-575.1,-15.17,-18.96,2502.85,3128.56,119.6,149.5,345.6,-54.86,-11.41,357.01,-53.11
771,77.25,-4.47,20.95,51.3,134.26,-1184.65,0.0,-999.09,-21.44,-26.8,2497.76,3122.2,119.22,149.03,345.6,-77.54,-16.13,361.73,-74.08
772,62.76,-3.13,20.97,51.3,88.64,-829.26,0.0,-689.32,-12.02,-15.02,2493.12,3116.4,118.89,148.61,345.6,-43.47,-9.04,354.64,-42.36
773,54.72,-2.01,20.99,51.3,67.37,-533.09,0.0,-414.43,-6.3,-7.87,2490.57,3113.22,118.68,148.35,345.6,-22.78,-4.74,350.34,-22.47
774,48.28,-0.67,21.0,51.3,52.45,-177.7,0.0,-73.95,-0.99,-1.24,2489.56,3111.95,118.55,148.18,345.6,-3.59,-0.75,346.35,-3.58
775,49.89,2.46,21.01,51.3,56.0,651.56,0.0,758.86,10.52,13.15,2490.88,3113.6,118.53,148.17,345.6,38.04,7.91,337.69,38.93
776,65.98,4.92,21.03,51.3,97.96,1303.12,0.0,1452.38,26.62,33.28,2496.04,3120.05,118.69,148.36,345.6,96.28,20.03,325.57,102.2
777,85.3,3.35,21.05,51.3,163.69,888.49,0.0,1103.48,26.14,32.68,2503.37,3129.21,118.92,148.65,345.6,94.56,19.67,325.93,100.27
778,90.12,-1.12,21.08,51.3,182.75,-296.16,0.0,-62.11,-1.55,-1.94,2506.78,3133.48,118.94,148.68,345.6,-5.62,-1.17,346.77,-5.61
779,77.25,-3.13,21.1,51.3,134.26,-829.26,0.0,-643.69,-13.81,-17.27,2504.65,3130.81,118.71,148.39,345.6,-49.96,-10.39,355.99,-48.5
780,67.59,-0.45,21.12,51.3,102.8,-118.47,0.0,35.63,0.67,0.84,2502.82,3128.53,118.51,148.14,345.6,2.42,0.5,345.1,2.42
781,74.03,1.34,21.14,51.3,123.31,355.4,0.0,530.0,10.9,13.62,2504.43,3130.54,118.48,148.1,345.6,39.42,8.2,337.4,40.38
782,77.25,1.79,21.16,51.3,134.26,473.86,0.0,659.43,14.15,17.69,2507.91,3134.89,118.52,148.15,345.6,51.18,10.65,334.95,52.81
783,86.9,3.58,21.18,51.3,169.93,947.72,0.0,1168.95,28.22,35.27,2513.8,3142.24,118.67,148.34,345.6,102.06,21.23,324.37,108.74
784,103.0,5.59,21.21,51.3,238.69,1480.82,0.0,1770.81,50.66,63.33,2524.75,3155.94,119.04,148.8,345.6,183.25,38.12,307.48,205.96
785,127.14,6.26,21.24,51.3,363.69,1658.51,0.0,2073.51,73.23,91.54,2541.96,3177.45,119.67,149.59,345.6,264.86,55.09,290.51,315.08
786,148.06,4.92,21.28,51.3,493.23,1303.12,0.0,1847.65,75.99,94.99,2562.68,3203.35,120.43,150.54,345.6,274.85,57.17,288.43,329.32
787,162.54,3.35,21.32,51.3,594.46,888.49,0.0,1534.25,69.27,86.59,2582.86,3228.57,121.13,151.42,345.6,250.55,52.11,293.49,295.04
788,172.2,2.68,21.37,51.3,667.18,710.79,0.0,1429.28,68.37,85.46,2601.97,3252.47,121.77,152.21,345.6,247.28,51.43,294.17,290.51
789,181.86,2.01,21.42,51.3,744.11,533.09,0.0,1328.5,67.11,83.89,2620.79,3275.99,122.36,152.96,345.6,242.73,50.49,295.11,284.25
790,186.68,1.56,21.47,51.3,784.14,414.63,0.0,1250.07,64.82,81.03,2639.12,3298.89,122.93,153.66,345.6,234.46,48.77,296.83,272.98
791,193.12,0.89,21.52,51.3,839.15,236.93,0.0,1127.38,60.48,75.6,2656.52,3320.65,123.43,154.29,345.6,218.74,45.5,300.1,251.91
792,193.12,-2.68,21.58,51.3,839.15,-710.79,0.0,179.66,9.64,12.05,2666.26,3332.82,123.58,154.47,345.6,34.86,7.25,338.35,35.61
793,173.81,-5.14,21.63,51.3,679.71,-1362.35,0.0,-631.34,-30.48,-38.1,2663.36,3329.2,123.15,153.94,345.6,-110.25,-22.93,368.53,-103.39
794,156.11,-5.59,21.67,51.3,548.3,-1480.82,0.0,-881.21,-38.21,-47.76,2653.82,3317.28,122.45,153.07,345.6,-138.21,-28.75,374.35,-127.59
795,133.58,-3.8,21.71,51.3,401.45,-1006.96,0.0,-554.2,-20.56,-25.7,2645.66,3307.07,121.85,152.31,345.6,-74.38,-15.47,361.07,-71.19
796,128.75,0.22,21.75,51.3,372.96,59.23,0.0,483.49,17.29,21.61,2645.2,3306.5,121.62,152.03,345.6,62.54,13.01,332.59,64.99
797,135.18,0.22,21.79,51.3,411.18,59.23,0.0,521.72,19.59,24.49,2650.33,3312.91,121.66,152.07,345.6,70.86,14.74,330.86,74.02
798,130.36,-2.46,21.82,51.3,382.34,-651.56,0.0,-217.92,-7.89,-9.86,2651.95,3314.94,121.52,151.91,345.6,-28.54,-5.94,351.54,-28.06
799,117.48,-2.91,21.86,51.3,310.54,-770.02,0.0,-408.18,-13.32,-16.65,2649.0,3311.26,121.2,151.5,345.6,-48.18,-10.02,355.62,-46.82
800,109.44,-0.89,21.89,51.3,269.46,-236.93,0.0,83.83,2.55,3.19,2647.51,3309.39,120.96,151.19,345.6,9.22,1.92,343.68,9.27
801,111.04,0.45,21.92,51.3,277.44,118.47,0.0,447.21,13.79,17.24,2649.78,3312.22,120.89,151.11,345.6,49.89,10.38,335.22,51.44
802,112.65,0.67,21.95,51.3,285.54,177.7,0.0,514.54,16.1,20.13,2653.93,3317.41,120.91,151.13,345.6,58.24,12.11,333.49,60.35
803,115.87,-1.34,21.98,51.3,302.09,-355.4,0.0,-2.0,-0.06,-0.08,2656.16,3320.2,120.83,151.04,345.6,-0.23,-0.05,345.65,-0.23
804,103.0,-2.91,22.01,51.3,238.69,-770.02,0.0,-480.03,-13.73,-17.17,2654.24,3317.8,120.58,150.73,345.6,-49.67,-10.33,355.93,-48.23
805,94.95,-0.89,22.04,51.3,202.85,-236.93,0.0,17.22,0.45,0.57,2652.4,3315.5,120.35,150.43,345.6,1.64,0.34,345.26,1.64
806,96.56,0.89,22.07,51.3,209.79,236.93,0.0,498.02,13.36,16.7,2654.32,3317.89,120.29,150.36,345.6,48.31,10.05,335.55,49.76
807,101.39,1.56,22.09,51.3,231.29,414.63,0.0,697.22,19.64,24.55,2658.9,3323.62,120.35,150.43,345.6,71.02,14.77,330.83,74.19
808,107.83,3.13,22.12,51.3,261.59,829.26,0.0,1142.15,34.21,42.76,2666.38,3332.97,120.53,150.66,345.6,123.73,25.74,319.86,133.69
809,123.92,4.69,22.16,51.3,345.51,1243.89,0.0,1640.69,56.48,70.59,2678.97,3348.71,120.92,151.15,345.6,204.27,42.49,303.11,232.9
810,141.62,4.47,22.19,51.3,451.28,1184.65,0.0,1687.23,66.37,82.97,2696.03,3370.04,121.49,151.86,345.6,240.07,49.93,295.67,280.62
811,156.11,4.02,22.23,51.3,548.3,1066.19,0.0,1665.79,72.23,90.29,2715.29,3394.11,122.13,152.66,345.6,261.26,54.34,291.26,310.01
